Document,Dominant Topic No,Dominant Topic Name
"The TMC and BJP are set for a high-stakes contest. The 2026 Assembly elections are being held in phases, with polling in Assam, Kerala and Puducherry completed on April 9. West Bengal will vote in two phases on April 23 and 29, while Tamil Nadu goes to the polls on April 23. Vote counting is scheduled for May 4. In West Bengal, campaigning has intensified into a direct contest between the ruling Trinamool Congress and the Bharatiya Janata Party. Himata Sarma vs Mamata Banerjee Earlier, Assam Chief Minister Himanta Biswa Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state s identity and",8,"Development, Roads and Local Governance"
"Nadu goes to the polls on April 23. Vote counting is scheduled for May 4. In West Bengal, campaigning has intensified into a direct contest between the ruling Trinamool Congress and the Bharatiya Janata Party. Himata Sarma vs Mamata Banerjee Earlier, Assam Chief Minister Himanta Biswa Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state s identity and inclusive ethos. In Tamil Nadu, the AIADMK , leading the NDA alliance, has released multiple candidate lists covering a large number of seats. Actor-politician Vijay , founder of Tamilaga Vettri Kazhagam TVK , faces a police case for allegedly violating election conduct rules during",8,"Development, Roads and Local Governance"
"a campaign event. The TMC and BJP are set for a high-stakes contest. The 2026 Assembly elections are being held in phases, with polling in Assam, Kerala and Puducherry completed on April 9. West Bengal will vote in two phases on April 23 and 29, while Tamil Nadu goes to the polls on April 23. Vote counting is scheduled for May 4. In West Bengal, campaigning has intensified into a direct contest between the ruling Trinamool Congress and the Bharatiya Janata Party. Himata Sarma vs Mamata Banerjee Earlier, Assam Chief Minister Himanta Biswa Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state",8,"Development, Roads and Local Governance"
"Sarma vs Mamata Banerjee Earlier, Assam Chief Minister Himanta Biswa Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state s identity and inclusive ethos. In Tamil Nadu, the AIADMK , leading the NDA alliance, has released multiple candidate lists covering a large number of seats. Actor-politician Vijay , founder of Tamilaga Vettri Kazhagam TVK , faces a police case for allegedly violating election conduct rules during a campaign event. In West Bengal, campaigning has intensified into a direct contest between the ruling Trinamool Congress and the Bharatiya Janata Party. Himata Sarma vs Mamata Banerjee Earlier, Assam Chief Minister Himanta Biswa Sarma accused",8,"Development, Roads and Local Governance"
"the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state s identity and inclusive ethos. In Tamil Nadu, the AIADMK , leading the NDA alliance, has released multiple candidate lists covering a large number of seats. Actor-politician Vijay , founder of Tamilaga Vettri Kazhagam TVK , faces a police case for allegedly violating election conduct rules during a campaign event. Himata Sarma vs Mamata Banerjee Earlier, Assam Chief Minister Himanta Biswa Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state s identity and inclusive ethos. In Tamil",8,"Development, Roads and Local Governance"
"Nadu, the AIADMK , leading the NDA alliance, has released multiple candidate lists covering a large number of seats. Actor-politician Vijay , founder of Tamilaga Vettri Kazhagam TVK , faces a police case for allegedly violating election conduct rules during a campaign event. Earlier, Assam Chief Minister Himanta Biswa Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state s identity and inclusive ethos. In Tamil Nadu, the AIADMK , leading the NDA alliance, has released multiple candidate lists covering a large number of seats. Actor-politician Vijay , founder of Tamilaga Vettri Kazhagam TVK , faces a police case for allegedly violating election",8,"Development, Roads and Local Governance"
"while Tamil Nadu goes to the polls on April 23. Vote counting is scheduled for May 4. In West Bengal, campaigning has intensified into a direct contest between the ruling Trinamool Congress and the Bharatiya Janata Party. Himata Sarma vs Mamata Banerjee Earlier, Assam Chief Minister Himanta Biswa Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state s identity and inclusive ethos. In Tamil Nadu, the AIADMK , leading the NDA alliance, has released multiple candidate lists covering a large number of seats. Actor-politician Vijay , founder of Tamilaga Vettri Kazhagam TVK , faces a police case for allegedly violating election conduct",8,"Development, Roads and Local Governance"
"rules during a campaign event. The TMC and BJP are set for a high-stakes contest. The 2026 Assembly elections are being held in phases, with polling in Assam, Kerala and Puducherry completed on April 9. West Bengal will vote in two phases on April 23 and 29, while Tamil Nadu goes to the polls on April 23. Vote counting is scheduled for May 4. In West Bengal, campaigning has intensified into a direct contest between the ruling Trinamool Congress and the Bharatiya Janata Party. Himata Sarma vs Mamata Banerjee Earlier, Assam Chief Minister Himanta Biswa Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect",8,"Development, Roads and Local Governance"
"Party. Himata Sarma vs Mamata Banerjee Earlier, Assam Chief Minister Himanta Biswa Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state s identity and inclusive ethos. In Tamil Nadu, the AIADMK , leading the NDA alliance, has released multiple candidate lists covering a large number of seats. Actor-politician Vijay , founder of Tamilaga Vettri Kazhagam TVK , faces a police case for allegedly violating election conduct rules during a campaign event. In West Bengal, campaigning has intensified into a direct contest between the ruling Trinamool Congress and the Bharatiya Janata Party. Himata Sarma vs Mamata Banerjee Earlier, Assam Chief Minister Himanta Biswa",8,"Development, Roads and Local Governance"
"Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state s identity and inclusive ethos. In Tamil Nadu, the AIADMK , leading the NDA alliance, has released multiple candidate lists covering a large number of seats. Actor-politician Vijay , founder of Tamilaga Vettri Kazhagam TVK , faces a police case for allegedly violating election conduct rules during a campaign event. Himata Sarma vs Mamata Banerjee Earlier, Assam Chief Minister Himanta Biswa Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state s identity and inclusive ethos.",8,"Development, Roads and Local Governance"
"In Tamil Nadu, the AIADMK , leading the NDA alliance, has released multiple candidate lists covering a large number of seats. Actor-politician Vijay , founder of Tamilaga Vettri Kazhagam TVK , faces a police case for allegedly violating election conduct rules during a campaign event. Earlier, Assam Chief Minister Himanta Biswa Sarma accused the TMC of spreading misinformation on dietary restrictions, while Chief Minister Mamata Banerjee countered by branding the BJP Bangla-birodhi and pledging to protect the state s identity and inclusive ethos. In Tamil Nadu, the AIADMK , leading the NDA alliance, has released multiple candidate lists covering a large number of seats. Actor-politician Vijay , founder of Tamilaga Vettri Kazhagam TVK , faces a police case for allegedly",8,"Development, Roads and Local Governance"
"Friday assured a drug free Tamil Nadu if his party comes to power in the upcoming Assembly elections. During a poll campaign at Sangagiri here, he said, ""Students are addicted to drug abuse and time has come to put an end to it. Once the AIADMK assumes power, the sale of ganja will be completely eradicated. We will transform Tamil Nadu into a drug-free state"". Assembly elections 2026 LIVE Rajasthan Chief Minister Bhajanlal Sharma on Friday held a roadshow in support of Bharatiya Janata Party BJP candidate Shankar Ghosh from Siliguri Assembly constituency. In the Siliguri Assembly constituency, BJP candidate Shankar Ghosh is contesting against the TMC candidate Goutam Deb and the INC candidate Alok Dhara. Assembly elections 2026 LIVE",6,Assembly Elections and Government Criticism
"s Rising Sun symbol. Assembly elections 2026 LIVE West Bengal Chief Minister Mamata Banerjee on Friday stepped up her attack on the BJP. She called the party Bangla-birodhi against Bengalis and claimed she would not allow Bangla-birodhi zamindars to harm the people, news agency ANI reported. Campaigning in Cooch Behar, she promised to protect Bengal s rights, secular fabric and inclusive ethos. She asked voters to support the Trinamool Congress symbol Joraphool . The state will vote in two phases on April 23 and 29, with counting on May 4, in what is expected to be a direct TMC vs BJP contest.",7,Opposition Leaders and Women Participation
"s political narrative. ALSO READ Mamata Banerjee vs Suvendu Adhikari Heavyweights gear up for round 2 in Bengal elections 2026 In the ongoing 2026 West Bengal Assembly elections, Adhikari is contesting from two seats his traditional stronghold of Nandigram and Mamata Banerjee s urban bastion of Bhabanipur. Once a close lieutenant and key strategist for Banerjee during the Nandigram anti-land acquisition movement in 2007, Adhikari defected to the BJP in December 2020 following internal power struggles and accusations of being sidelined, as per earlier HT reports. Union Home Minister Amit Shah has framed Adhikari",5,Land Acquisition and Bhabanipur Politics
"Suvendu Adhikari is a prominent leader of the Bharatiya Janata Party BJP and the current Leader of the Opposition in the West Bengal Legislative Assembly. Born on December 15, 1970, in Purba Medinipur, he is the son of Shri Sisir Kumar Adhikari and Smt Gayatri Adhikari. He rose to national prominence in 2021 when he defeated Chief Minister Mamata Banerjee in her bid for the Nandigram seat by a narrow margin, a victory that permanently altered the state's political narrative. ALSO READ Mamata Banerjee vs Suvendu Adhikari Heavyweights gear up for round 2 in Bengal elections 2026 In the ongoing 2026 West Bengal Assembly elections, Adhikari is contesting from two seats his traditional stronghold of Nandigram and Mamata Banerjee s",10,Campaign Strategy and State Leadership
"urban bastion of Bhabanipur. Once a close lieutenant and key strategist for Banerjee during the Nandigram anti-land acquisition movement in 2007, Adhikari defected to the BJP in December 2020 following internal power struggles and accusations of being sidelined, as per earlier HT reports. Union Home Minister Amit Shah has framed Adhikari's potential victory in Bhabanipur as a ""shortcut"" to uprooting the Trinamool Congress TMC government. Yamini CS is a Senior Content Producer at Hindustan Times with nearly six years of experience in digital journalism. She is part of the India News desk, where she works on a wide range of stories cutting across civic issues, city-based developments, politics, governance, public policy, breaking news, trending topics, and international affairs that have",5,Land Acquisition and Bhabanipur Politics
"named in his place as the new Home Secretary. PTI West Bengal Chief Minister Mamata Banerjee said on Saturday that the BJP attempted to file two false cases against her in order to have her candidature from the Bhabanipur seat in south Kolkata canceled, but the public and TMC employees thwarted the attempt. PTI PM Modi accused the TMC of having done a PhD in goondaism and corruption and said the party continues to abuse him while failing to show its work over the last 15 years. Addressing a rally in Bengal's Kushmandi, he alleged that the ruling party has no development record to present and is instead relying on false claims and attacks. With inputs from PTI PM Modi",3,Nandigram Movement and Land Politics
"said the BJP will implement the Uniform Civil Code in West Bengal to end appeasement politics and asserted that Bengalis will not be allowed to become a minority in the state. While addressing a rally at Jangipur in Muslim-majority Murshidabad district, Modi said the BJP's election manifesto, released by Union Home Minister Amit Shah on Friday, is a roadmap to end TMC's 'Mahajungleraj' in West Bengal. He attacked the TMC over corruption, alleged support for infiltrators and violence during Ram Navami, calling the election a fight to protect Bengal s identity. With inputs from PTI Prime Minister Narendra Modi on Saturday intensified his attack on the Trinamool Congress, saying the people of West Bengal will shatter the arrogance of the",3,Nandigram Movement and Land Politics
"ensure women s safety and dignity in busy city areas, educational institutions, hostels and public places by implementing strict law enforcement measures and zero-tolerance for crimes against women, the manifesto reads. Read Here Sensitive to allegations that it acts as the BJP s B-team and helps it by splitting the Opposition s Muslim votes, the Asaduddin Owaisi-led AIMIM appears to be responding to these accusations by contesting the coming West Bengal Assembly elections from constituencies that the Trinamool Congress TMC won comfortably last time. Positioning itself as the M-team in Bengal, Owaisi said the choice of 12 constituencies was deliberate. The AIMIM had tied up with former Trinamool Congress TMC leader Humayun Kabir s Aam Janata Unnayan Party AJUP but",10,Campaign Strategy and State Leadership
"broke off the alliance on Friday, a day after a video emerged in which a person purported to be Kabir is seen talking bout receiving financial support from the BJP to contest the elections and erode the TMC s minority votes. ... Click Here Former Union Minister and BJP s Kazhakkoottam candidate V Muraleedharan said changes in the voter list could impact the CPI M in the constituency, as he commented on polling trends ahead of the Kerala Assembly elections. Speaking in Thiruvananthapuram, Muraleedharan said a reduction in the total number of voters would naturally increase the polling percentage, and claimed that the cleansing of the electoral roll could work against the CPI M , which he alleged had benefited",2,"Voters, Public Meetings and State Issues"
"from such factors earlier. watch Thiruvananthapuram Former Union Minister BJP Kazahakootam candidate V Muraleedharan says, ""...In the last election, the total number of voters was 1.94 lakhs, and 1.38 lakhs voted in Kazahakootam ... When the total number of votes is reduced, the polling percentage pic.twitter.com YoKQo52nZb Janata Unnayan Party founder Humayun Kabir on Friday alleged a conspiracy behind a viral video involving him, questioning why footage from December was circulated during the election period. Speaking in Islampur, Kabir said he would respond legally in the High Court and accused West Bengal Chief Minister Mamata Banerjee of maintaining good relations with the BJP and RSS, alleging they were acting together against him. On AIMIM s decision to withdraw its alliance",2,"Voters, Public Meetings and State Issues"
"with his party, Kabir declined to comment, saying the party should be asked for its reasons. West Bengal Chief Minister Mamata Banerjee on Monday alleged that the BJP brought people from outside to cast votes in Assam, claiming the party lacked confidence in securing support from local voters. Addressing a rally in Tentulia in North 24 Parganas, the TMC chief said the move reflected the BJP s lack of faith in the electorate of the state. VIDEO West Bengal polls At an election rally in Tentulia, North 24 Parganas, CM Mamata Banerjee says, BJP brought people from outside to vote in Assam as it was not confident of victory with votes of state's residents."" assemblypollswithpti westbengalpollswithpti Full pic.twitter.com 5uNZTfD9Sa Union",2,"Voters, Public Meetings and State Issues"
"Nandigram, a small coastal town in West Bengal s East Midnapore district, was once the epicentre of a movement that redefined Bengal s politics. In 2007, the land agitation here did not just resist acquisition for a petro-chemical hub, it also dismantled a regime and scripted the rise of Mamata Banerjee. Nearly two decades later, the same ground and the same people tell a far more complicated story. In 2021, Nandigram delivered one of the most symbolic blows in Bengal s political history. It was almost an unthinkable political event. Bengal s chief minister Mamata Banerjee, who was seeking re-election for a third term, lost here to her former confidant Suvendu Adhikari. It was not just a defeat, it marked",7,Opposition Leaders and Women Participation
"the shift of a trusted lieutenant into her most formidable adversary. In 2026, the battle returned to Nandigram, yet again. However, the narrative has moved beyond personalities. While Banerjee avoided repeating her 2021 misstep, Adhikari opted to contest from two constituencies his home turf of Nandigram and Bhabanipur, considered Banerjee s stronghold. In response, Banerjee brought her close associate Pabitra Kar into the party fold and fielded him against Adhikari. Kar had been Subhendu s election manager for past elections and he is now his opponent. Malay Sinha, BJP s East Midnapore district president said, Kar does not stand a chance here. He was caught red handed while stealing from development funds and he was denied a ticket. That is",9,Political Power and Resistance
"how he landed in the Trinamool party. Dada Suvendu has no threat from him."" The question is no longer just who wins Nandigram, but what, if anything, has changed for the people who once stood at the centre of a revolution. The roads leading into Nandigram still carry the echoes of 2007. The Tehkali bridge, once a flashpoint of confrontation, now stands quiet, more as a reminder than a rallying point. The bridge witnessed Bengal s political churn. But beyond symbolism, the lived reality remains stark. Dependence on the government s cash dole has risen so did the migration. Villages still grapple with broken infrastructure, limited employment avenues, and a sense that the momentum of the movement never translated into",1,Modi vs Mamata Political Rivalry
"sustained development. For many residents, the land agitation brought visibility on the map, but not transformation. The promise was protection from displacement, but the expectation was progress. That expectation, many say, remains only partially fulfilled. I completed my ITI hoping it would lead to a stable job, but I m still unemployed. When I went to collect the financial assistance, I was turned away because they see me as a BJP supporter,"" said Kaushik Gatait, a young villager, his frustration reflecting a deeper sense of exclusion. Election cycles bring renewed attention roads get patched, outreach intensifies, leaders arrive. But once the ballots are cast, the urgency fades. Nandigram, it seems, has become a place politicians return to for legitimacy, not",4,Regional Alliances and Leadership
"necessarily for long-term investment. Every election, leaders come here and talk about the movement, about sacrifice and resistance. But after the votes are cast, nothing really changes for us,"" said Sunil Baidya, a local farmer. They all built their politics on Nandigram, whether it s Trinamool or BJP. But if you look around, where are the industries, where are the jobs? We stopped the land acquisition, but what came after that? No proper roads, no factories, no steady work. The movement gave them power, not us development,"" he added. The members of the resistance group Bhumi Uchhed Pratirodh Committee anti land eviction committee , are now in different political parties. The resistance group was formed in early 2007 in Nandigram",1,Modi vs Mamata Political Rivalry
"to oppose land acquisition for the proposed Special Economic Zone SEZ . Supported by the Trinamool Congress TMC , SUCI, and other forces, the BUPC blocked roads and prevented entry of CPIM party workers, leading to massive protests on the Tekhali bridge and the location became the flashpoint of the movement. Meghnad Pal, a senior member of the erstwhile resistance group said, People still believe in Subhendu Adhikari. At least, he did not desert them. Didi hardly came back to see how her compatriots are living. Instead, cases of political violence against us continued to pile on and now the number has crossed 500."" Nandigram remains one of Bengal s most intensely contested constituencies, where every election feels like a",1,Modi vs Mamata Political Rivalry
"referendum. The rivalry between Mamata Banerjee and Suvendu Adhikari continues to dominate the narrative. For Suvendu, Nandigram is not just a constituency. It is the ground that validated his political break. For Mamata, it remains the site of a loss that still resonates. But beyond this high-voltage contest, the ground reality reflects a deeper churn. Political allegiance here is sharply defined, often cutting across villages and even families. Party flags are not just markers of support, they are lines of division. Locals speak of a constant state of mobilisation. Cadres remain active, tensions simmer beneath the surface, and the space for neutrality continues to shrink. Nandigram looks like a place wrapped in saffron flags and cut outs of PM Modi",7,Opposition Leaders and Women Participation
"and Suvendu. Despite repeated assurances of peaceful elections, apprehensions persist fuelled by past experiences and the intensity of the contest. In many ways, Nandigram today is trapped in its own legacy. The movement that once united people against a common cause has given way to a landscape of competing loyalties and enduring rivalries. Nandigram s story in 2026 is not just about a rematch between two political heavyweights. It is about a place that once changed Bengal, but is still waiting for that change to fully arrive.",1,Modi vs Mamata Political Rivalry
"and alleged that the issue was being politically encouraged by the ruling Trinamool Congress. He claimed that Humayun Kabir, chief of the newly formed Aam Janata Unnayan Party, was acting at the behest of the TMC leadership. Kabir, who was suspended from the Trinamool Congress in December last year, had sparked controversy by proposing the construction of a Babri-like mosque in the Beldanga area of Murshidabad district, close to Malda. Earlier, Shah alleged that Kabir was taking cues",3,Nandigram Movement and Land Politics
"Union Home Minister Amit Shah on Wednesday asserted that the BJP would not allow the construction of a Babri Masjid like structure in West Bengal if it comes to power after the Assembly elections, launching a sharp attack on Chief Minister Mamata Banerjee. Addressing a public rally in Jalpaiguri, Shah said, We will not let anyone make a Babri Masjid in Bengal,"" and alleged that the issue was being politically encouraged by the ruling Trinamool Congress. He claimed that Humayun Kabir, chief of the newly formed Aam Janata Unnayan Party, was acting at the behest of the TMC leadership. Kabir, who was suspended from the Trinamool Congress in December last year, had sparked controversy by proposing the construction of a",3,Nandigram Movement and Land Politics
