source,title,summary,published,url,scraped_at
Economic Times,"Quote of the by day Steve Jobs, ""Sometimes life is going to hit you in the head with a brick. Don't lose faith."" How did Steve Jobs turn brutal failure into Apple’s billion-dollar comeback that changed America forever?","Quote of the day - Steve Jobs ""Sometimes life is going to hit you in the head with a brick. Don't lose faith."" Over 70% of startups fail within 10 years. That is why the Steve Jobs brick quote still trends in career resilience and leadership searches. Steve Jobs was fired from Apple in 1985. Apple was near bankruptcy in 1997. He returned and led one of the biggest corporate turnarounds in business history. His message is clear. ""The brick doesn't define you. How you rise from the rubble does.""","23 Feb, 2026, 08:07 PM IST",https://economictimes.indiatimes.com/news/international/us/quote-of-the-by-day-steve-jobs-sometimes-life-is-going-to-hit-you-in-the-head-with-a-brick-dont-lose-faith-how-did-steve-jobs-turn-brutal-failure-into-apples-billion-dollar-comeback-that-changed-america-forever/articleshow/128715266.cms,2026-02-28 12:24:02
Economic Times,"Apple’s March 4 event: Budget MacBook, iPhone 17e and more could be on the way","Apple's March 4, 2026 event is rumored to feature a more affordable MacBook with an A18 Pro chip, potentially priced around $500. The iPhone 17e, an affordable iPhone with MagSafe, is also anticipated.","23 Feb, 2026, 04:44 PM IST",https://economictimes.indiatimes.com/magazines/panache/apples-march-4-event-budget-macbook-iphone-17e-and-more-could-be-on-the-way/articleshow/128711037.cms,2026-02-28 12:24:02
Economic Times,"Apple March event 2026: Budget MacBook, iPhone 17e, new iPad Air and more expected","Apple is set for a busy early March 2026 with multiple product reveals. Expect new MacBooks, the iPhone 17e, and updated iPads. Special 'Apple Experience' sessions are planned in major cities. Inventory shortages hint at imminent launches.","23 Feb, 2026, 09:56 AM IST",https://economictimes.indiatimes.com/news/new-updates/apple-march-event-2026-budget-macbook-iphone-17e-new-ipad-air-and-more-expected/articleshow/128698298.cms,2026-02-28 12:24:02
Economic Times,iPhone 18 Pro colours: Apple testing deep red finish for 2026 models,"Apple may introduce a new deep red color for the iPhone 18 Pro and Pro Max. This follows the success of Cosmic Orange on the iPhone 17 Pro. The company is evaluating this shade as the main finish for the 2026 Pro models. Other rumored colors might be variations of red. The foldable iPhone will likely feature classic, muted colors.","23 Feb, 2026, 08:55 AM IST",https://economictimes.indiatimes.com/news/new-updates/apple-iphone-18-pro-max-colour-leaks-deep-red-finish-cosmic-orange-success/articleshow/128697215.cms,2026-02-28 12:24:02
Economic Times,Did Tim Cook hint at Apple developing AI glasses and camera wearables? What we know so far,"Apple is reportedly gearing up for a new era of AI wearables. CEO Tim Cook's recent comments suggest a strong push towards devices leveraging Visual Intelligence. This technology, which analyses a user's surroundings, could power future AirPods, smart glasses, and even a pendant.","23 Feb, 2026, 08:10 AM IST",https://economictimes.indiatimes.com/news/new-updates/apple-ai-glasses-camera-wearables-ceo-tim-cook-new-launches-what-to-expect/articleshow/128695666.cms,2026-02-28 12:24:02
Economic Times,India’s iPhone exports hit $23 billion in 2025 as smartphones become top export segment,"Apple's iPhone emerged as India's top export in 2025, reaching $23 billion and driving smartphones to become the nation's leading export category. This surge was fueled by production incentives and diversification from Chinese suppliers. However, the abolition of US fentanyl tariffs on Chinese exports could challenge India's competitive edge.","23 Feb, 2026, 05:30 AM IST",https://economictimes.indiatimes.com/industry/cons-products/electronics/indias-iphone-exports-hit-23-billion-in-2025-as-smartphones-become-top-export-segment/articleshow/128687555.cms,2026-02-28 12:24:02
Economic Times,Quote of the day by Steve Jobs: 'Let's go invent tomorrow rather than worrying about what happened yesterday',"Steve Jobs once said, ""Let's go invent tomorrow rather than worrying about what happened yesterday."" The quote reflects his belief in focusing on innovation and future possibilities instead of dwelling on past mistakes or successes. The article looks at how this mindset shaped his journey at Apple Inc. — from founding the company with Steve Wozniak, to being forced out, and later returning to revive the brand with breakthrough products like the iMac and iPhone.","23 Feb, 2026, 02:29 AM IST",https://economictimes.indiatimes.com/magazines/panache/quote-of-the-day-by-steve-jobs-lets-go-invent-tomorrow-rather-than-worrying-about-what-happened-yesterday/articleshow/128689118.cms,2026-02-28 12:24:02
Economic Times,"Croma Everything Apple Sale: Get iPhone 16 for Rs 35,991, iPhone 17 for Rs 44,768","Croma is offering massive discounts on Apple iPhones. The latest iPhone 17 is available for under Rs 45,000 and the iPhone 16 is priced below Rs 40,000. These deals combine bank cashback, coupon discounts, and exchange bonuses. The sale runs from February 20 to March 8.","21 Feb, 2026, 10:42 AM IST",https://economictimes.indiatimes.com/news/new-updates/croma-everything-apple-sale-get-iphone-16-for-rs-35991-iphone-17-for-rs-44768/articleshow/128634020.cms,2026-02-28 12:24:02
Economic Times,"West Virginia sues Apple, saying iCloud distributed 'child porn'","West Virginia's attorney general sued Apple on Thursday, accusing the iPhone maker of allowing its iCloud service to become what the company's own internal communications called the ""greatest platform for distributing child porn.""","20 Feb, 2026, 08:57 AM IST",https://economictimes.indiatimes.com/tech/technology/west-virginia-sues-apple-saying-icloud-distributed-child-porn/articleshow/128589039.cms,2026-02-28 12:24:02
Economic Times,"Apple TV partners with EverPass Media to bring sports lineup to bars, hotels","EverPass said Apple TV's sports portfolio is available to stream in the ⁠U.S. through its ""Core"" package at no additional cost to new and current customers. The agreement expands EverPass' existing premium sports library, which includes Paramount+'s UEFA Champions League and Prime ⁠Video's ""Thursday Night Football,"" along with National Basketball Association and Women's NBA content.","20 Feb, 2026, 07:08 AM IST",https://economictimes.indiatimes.com/tech/technology/apple-tv-partners-with-everpass-media-to-bring-sports-lineup-to-bars-hotels/articleshow/128585785.cms,2026-02-28 12:24:02
Economic Times,"In Srinagar, Himachal CM Sukhu warns India-US trade deal to hit apple growers in J&K, HP","Himachal Pradesh Chief Minister Sukhvinder Singh Sukhu expressed concerns over the recent India-US trade deal. He stated the agreement will adversely affect farmers in Jammu and Kashmir and Himachal Pradesh. Apple, almond, and walnut growers are expected to face significant consequences. Sukhu highlighted that almond prices have already seen a decline due to such trade agreements.","20 Feb, 2026, 12:29 AM IST",https://economictimes.indiatimes.com/news/politics-and-nation/in-srinagar-himachal-cm-sukhu-warns-india-us-trade-deal-to-hit-apple-growers-in-jk-hp/articleshow/128572183.cms,2026-02-28 12:24:02
Economic Times,Govt to provide incentives to Apple to start manufacturing iPhones in Pakistan: Report,"Pakistan is offering incentives to Apple for iPhone manufacturing and refurbishment, aiming for $100 million in re-export revenue. The government plans to provide land at discounted rates and an 8% performance incentive, mirroring Apple's strategy in other Asian countries. This initiative seeks to boost local manufacturing and establish Pakistan as a regional export hub.","19 Feb, 2026, 09:32 PM IST",https://economictimes.indiatimes.com/news/international/world-news/apple-to-manufacture-iphones-in-pakistan-report/articleshow/128559207.cms,2026-02-28 12:24:02
Economic Times,US Stocks: Apple decouples from Nasdaq as AI ‘whack-a-mole’ grips market,"Apple Inc. has sharply decoupled from the Nasdaq 100 Index, with correlation hitting a 20-year low as it largely avoids the AI spending race. Strong iPhone sales and steady outlook offer investors relative stability, despite valuation concerns and slowing growth expectations.","18 Feb, 2026, 06:14 PM IST",https://economictimes.indiatimes.com/markets/us-stocks/news/us-stocks-apple-decouples-from-nasdaq-as-ai-whack-a-mole-grips-market/articleshow/128508430.cms,2026-02-28 12:24:02
